familyrecipes
Family Recipes,,,,,,,,,,,,,,,,,,
Copy of Crocker Family Recipes Metadata chart - Sheet1,,,,,,,,,,,,,,,,,,
objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,applecrisp.jpg,,,Apple Crisp Recipe ,,2021-11-22,"Apple Crisp; eight macintosh apples (peeled, slices), cinnamon to taste 1 tblspn water; Place in a buttered purex pan or pie crust dish; Topping: seven tblspn butter, 1 cup sugar, 3/4 cup flour mix together spread over apples; Bake for thirty mins at 350 degrees",recipe;apple crsip ,,,,Recipe card ,red header with rooster in the corner ,Image;StillImage,image/jpeg,eng,,
coll002,bakedbrie.jpg,,,Baked Brie Recipe,,2021-11-22,"Baked Brie; one pkg pillsbury crescent rolls one pkg brie cheese 6 inch wheel, brown sugar dried cranberries roasted pecans; open rolls cut in half place cheese one one half with brown sugar, roasted pecans, dried cranberries place other square on top and seal shut; Whisk 1 egg with 1 tblspn water and brush over dough; Bake at 350 degrees for 20 mins",recipe;baked bried,,,,Recipe card ,red header with rooster in the corner ,Image;StillImage,image/jpeg,eng,,
coll003,blackberrylimecupcake.jpg,,,Blackberry Lime Cupcakes Recipe ,,2021-11-22,"Blackberry Lime Cupcakes; Preheat oven 350, makes 24; med bowl sift flour, salt, baking powder, baking soda; Cream butter and sugar until pale and fluffy; Add lime zest; Add eggs one at a time; beat in vanillia and lime juice; Add half flour mixture and then half milk until fully added; Beat until combined; Bake cupcakes for 12-14 mins until golden brown; Compote: Add berries, sugar, zest and juice to half cup water bring to boil until reduced then lower heat pass through seive and leave to cool; Frosting: beat butter until light and fluffy, add everything but compote beat on high for six minutes until light and fluffy; Add compote, whip by hand for one to two mins",recipe;blackberry lime cupcakes,,,,Recipe card ,green peapods on a white card,Image;StillImage,image/jpeg,eng,,
coll004,blendedgoldenmojito.jpg,,,Blended Golden Mojito Recipe ,,2021-11-22,Blended Golden Mojito; Sugar for coating 1 cup gold (light) rum 1/3 cup sugar 12 mint leaves 1 lime wedge 1/2 cup lime juice 4-5 cups of ice cubes; Blend rum lime juice sugar until sugar dissolves; add 4 cups of ice cubes; add mint leaves; blend until small green flecks; garnish with lime wedge and any left over mint leaves,recipe;blended golden mojito,,,,Recipe card ,green card with multicolored circles surrounding it ,Image;StillImage,image/jpeg,eng,,
coll005,boursincheese.jpg,,,Boursin Cheese Recipe,,2021-11-22,Boursin Cheese; 2 cloves of garlic 8 oz of butter 16 oz cream cheese softened 1 tsp dill 1 1/2 tsp chives 1/2 tsp chives 1/2 tsp salt 1/2 tsp basil 1/4 tsp pepper 1/2 tsp marjurum; Melt butter add to cream cheese in bowl add spices and blend; Refrigerate -- Make a day ahead,recipe;boursin cheese,,,,Recipe card ,red header with rooster in the corner ,Image;StillImage,image/jpeg,eng,,
coll006,brownies.jpg,,,Brownie Recipe ,,2021-11-22,"Brownies; Preheat to 350; 4 sq. of Bakers unsweetened baking choc 3/4 cup butter 2 cup sugar 1 cup flour 3 eggs 1 tsp vanilla nuts optional; melt choc. and butter, stir in sugar eggs and vanilla; add flour; mix well; Spread into 9x9 pan; Bake for 30-35 mins",recipe;brownie,,,,Recipe card ,red border with white spots,Image;StillImage,image/jpeg,eng,,
coll007,crabpuffs.jpg,,,Crab Puff Recipe,,2021-11-22,Crab Puffs; 5-6 eggs 2 1/2 - 3 cups flour 2-3 tblspn garlic powder white pepper to taste 2 lbs crab meat blend oil for frying; Mix flour into beaten eggs; Add crab garlic powder and white pepper to taste; Heat oil drop puffs into oil for 4-5 mins; makes 50 puffs,recipe;crab puffs,,,,Recipe card ,red border with small white spots white background and watermelon in the corner ,Image;StillImage,image/jpeg,eng,,
coll008,cranberrymartini.jpg,,,Cranberry Martini Recipe,,2021-11-22,Cranberry Martini; 1 giggle = 1.5 fl oz vodka 1.5 fl oz orange liquer 1.5 fl oz dry vermouth 3 fl oz cranberry juice 1 cup ice cranberries; Shake and pour,recipe;cranberry martini,,,,Recipe card ,green card with multicolored circles surrounding it ,Image;StillImage,image/jpeg,eng,,
coll009,cuminchickenstew.jpg,,,Cumin Chicken Stew Recipe ,,2021-11-22,"Cumin Chicken Stew; 3 onions halved, sliced thin 3 garlic cloves minced 3 carrots sliced short 3 ribs celery 3 red bell peppers 1 stick unsalted butter  1 bay leaf 1/2 tblspn cayenne pepper 2 tblspn cumin 2 tblspn curry 1/2 tpspn cinnamon 1/2 tsp all spice 1/2 tblspn corriander 1/2 tsp black pepper 1 tsp salt 1 tblspn tomato paste 35 oz plum tomomatoes chopped 5 cups chicken broth 5-6 lbs chicken 1/3 cup jasmine rice small head caulifloer 1 lb green beans 2 small zuchini chopped 1 lb shrimp (optional) 1/4 cup parsley; In 8 qrt kettle cook onion garlic carrots celery and peppers, stir in curry powder bay leaf, and rest of spices; Stir over moderate heat for 3 mins; Stir in tomatoe paste, tomatoes and chicken stock; Place chicken in pot and let simmer for 30 mins; Take chicken ut and cut into bite sized pieces; Add cauliflower green beans and simmer for 5 mins; Add zuchinni and chicken and shrip; add parsley; Option to add roasted penuts cooked lima bean red chili peppers plain yougurt golden raisens scallions yellow bell peppers",recipe;cumin chicken stew,,,,Recipe card ,green card with multicolored circles surrounding it  and blue card with overlapping circles ,Image;StillImage,image/jpeg,eng,,
coll010,darkchoccaramelcupcakes.jpg,,,Dark Chocolate Caramel Cupcakes Recipe,,2021-11-22,"Dark Chocolate Caramel Cupcakes; bake at 350 for 12-15 mins; 1 cup flour 1 cup sugar 1/3 cup cocoa powder 1tsp baking powder 1/2 tsp salt 1 egg room temperature 1/2 cup strong coffee hot 1/4 cup vegetable oil 1 1/2 tsp vanilla; Buttercream 5 egg whites room temp 1 1/4 cup sugar 1 1/2 cup (3 sticks) unsalted butter room temp 2 tsp vanilla 1/2 cup salted caramel sauce; Sift together all dry ingredients in a electric mixer; combine all wet ingredients in med bowl and whisk; Mix dry ingredients and combine dry and wet ingredients mix together for 2 mins, scrape down sides and mix 1 more min; Batter should be thin, distribute between cupcake liners; Buttercream whisk together egg whites and sugar in pan over simmering water; whisk until warm and sugar is dissolved -- 2-3 mins; Whisk egg mixture on med then high speed for 5 mins to form stiff glossy peaks and merange has cooled; reduce speed to med and add paddle attachment, add butter 1 piece at a time add vanilla and salted caramel sauce",recipe;dark chocolate caramel cupcakes,,,,Recipe card ,green peapods on a white card,Image;StillImage,image/jpeg,eng,,
coll011,englishmuffin.jpg,,,English Muffin Hor Dourvers Recipe,,2021-11-22,"English Muffins Hor Dourvers; 1 1/2 cup grated cheddar cheese 1/2 cup chopped scallions 1 cup ripe olives chopped 1/2 tsp cayenne pepper 1/2 cup mayonnaise 1/2 tsp salt; mix well, spread over toasted english muffins; place under broiler under melted and cut into quarters",recipe;english muffin hor dourvers,,,,Recipe card ,red header with rooster in the corner ,Image;StillImage,image/jpeg,eng,,
